State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Himachal Pradesh",Kangra,"SMY Palampur","Indian Colza(Sarson)","Indian Colza(Sarson)",FAQ,13/02/2026,2000,2500,2200
Punjab,Mohali,"Lalru APMC",Spinach,Other,Local,13/02/2026,500,500,500
"Himachal Pradesh",Kangra,"SMY Jaisinghpur",Mashrooms,Mashrooms,FAQ,13/02/2026,15500,16500,16000
Kerala,Alappuzha,"Harippad APMC",Colacasia,Other,FAQ,13/02/2026,5500,6000,5500
Kerala,Ernakulam,"Perumbavoor APMC",Lemon,Lemon,Medium,13/02/2026,5500,6100,5800
Kerala,Kollam,"Chathanoor APMC","Little gourd(Kundru)",Other,FAQ,13/02/2026,3800,4200,4000
Kerala,Kottayam,"Pampady APMC","Little gourd(Kundru)",Other,FAQ,13/02/2026,5000,6000,5500
Kerala,Kollam,"Chathanoor APMC","Indian Beans(Seam)",Other,FAQ,13/02/2026,5800,6200,6000
"Himachal Pradesh",Kangra,"SMY Palampur",Pomegranate,Pomogranate,Medium,13/02/2026,12000,13000,12500
Punjab,Amritsar,"Rayya APMC","Peas Wet",Other,FAQ,13/02/2026,2000,2000,2000
Punjab,"Ropar (Rupnagar)","Morinda APMC","Peas Wet","Peas Wet",Medium,13/02/2026,1500,2200,1850
"West Bengal",Bankura,"Khatra APMC","Sweet Pumpkin","Sweet Pumpkin",Local,13/02/2026,2000,2700,2200
Kerala,Kottayam,"Pampady APMC",Drumstick,Drumstick,FAQ,13/02/2026,10000,12000,11000
Kerala,Alappuzha,"Harippad APMC",Capsicum,Capsicum,FAQ,13/02/2026,8000,8500,8000
Odisha,Sundergarh,"Sargipali APMC",Capsicum,Other,FAQ,13/02/2026,3500,4000,3700
"Himachal Pradesh",Kangra,"SMY Jaisinghpur",Raddish,Raddish,FAQ,13/02/2026,1600,1800,1700
Punjab,Amritsar,"Rayya APMC",Raddish,Other,FAQ,13/02/2026,320,320,320
"Himachal Pradesh",Kangra,"SMY Jaisinghpur",Cucumbar(Kheera),Cucumbar,FAQ,13/02/2026,4500,4800,4600
Kerala,Kottayam,"Pampady APMC",Cucumbar(Kheera),Cucumbar,FAQ,13/02/2026,2500,3500,3000
Kerala,Malappuram,"Perinthalmanna APMC",Beetroot,Beetroot,Large,13/02/2026,3200,3200,3200
Kerala,Ernakulam,"Perumbavoor APMC",Snakeguard,Snakeguard,Medium,13/02/2026,3400,4100,3800
Kerala,Kollam,"Chathanoor APMC",Snakeguard,Other,FAQ,13/02/2026,3300,3700,3500
Kerala,Kottayam,"Pala APMC",Snakeguard,Other,FAQ,13/02/2026,4000,4800,4400
